transfer_id,sku_id,product_name,source_warehouse,destination_warehouse,transfer_qty,unit_cost_usd,transfer_value_usd,reason,requested_by,requested_date,approved_date,completed_date,status,transport_days,transport_cost_usd,trigger_type,ai_recommendation_id
TRF-2025-0001,PRD-008,Air Filter A-200,WHS-SBY-01,WHS-KRW-01,2000,7.50,15000.00,AI Stock Balancing Recommendation,Supply Chain Manager,2025-11-23,2025-11-23,2025-11-30,Completed,3,2124.52,AI Recommendation,INS-001
TRF-2025-0002,PRD-003,Gasket Seal G-400,WHS-SBY-01,WHS-KRW-01,5000,8.00,40000.00,Seasonal Demand Shift,AI System (Auto),2026-02-22,2026-02-22,2026-02-27,Completed,2,3092.26,Manual Request,
TRF-2025-0003,PRD-014,SS Bolt M12x80,WHS-KRW-01,WHS-SBY-01,5000,0.15,750.00,Manual Rebalance Request,Warehouse Supervisor,2026-04-22,2026-04-24,2026-04-27,Completed,2,5958.62,Manual Request,
TRF-2025-0004,PRD-005,Battery 12V 60Ah,WHS-KRW-01,WHS-SBY-01,2000,22.00,44000.00,AI Stock Balancing Recommendation,Warehouse Supervisor,2026-04-19,2026-04-20,2026-04-24,Completed,1,2325.19,AI Recommendation,INS-001
TRF-2025-0005,PRD-006,Ball Bearing 6205-2RS,WHS-KRW-01,WHS-SBY-01,3000,15.00,45000.00,Emergency Transfer — Stockout Prevention,Warehouse Supervisor,2026-04-05,2026-04-06,2026-04-11,Completed,4,5340.01,Manual Request,
TRF-2025-0006,PRD-002,Brake Pad 08 Aluminum Alloy,WHS-SBY-01,WHS-KRW-01,3000,12.00,36000.00,Emergency Transfer — Stockout Prevention,AI System (Auto),2025-11-15,2025-11-17,2025-11-22,Completed,1,5900.75,Manual Request,
TRF-2025-0007,PRD-011,Spark Plug MS-06,WHS-KRW-01,WHS-SBY-01,2000,3.00,6000.00,AI Stock Balancing Recommendation,AI System (Auto),2026-04-10,2026-04-12,2026-04-13,Completed,5,3235.52,AI Recommendation,INS-001
TRF-2025-0008,PRD-014,SS Bolt M12x80,WHS-KRW-01,WHS-SBY-01,1000,0.15,150.00,Emergency Transfer — Stockout Prevention,Supply Chain Manager,2026-02-10,2026-02-10,2026-02-17,Completed,2,1442.37,Manual Request,
TRF-2025-0009,PRD-015,Front Bushing FR-04,WHS-SBY-01,WHS-KRW-01,2000,18.00,36000.00,Seasonal Demand Shift,Supply Chain Manager,2026-01-27,2026-01-28,2026-02-01,Completed,1,3728.88,Manual Request,
TRF-2025-0010,PRD-006,Ball Bearing 6205-2RS,WHS-KRW-01,WHS-SBY-01,1000,15.00,15000.00,Manual Rebalance Request,Supply Chain Manager,2026-03-21,2026-03-23,2026-03-29,Completed,5,1252.69,Manual Request,
TRF-2025-0011,PRD-005,Battery 12V 60Ah,WHS-SBY-01,WHS-KRW-01,2000,22.00,44000.00,Seasonal Demand Shift,Warehouse Supervisor,2026-03-11,2026-03-12,2026-03-15,Completed,4,3888.68,Manual Request,
TRF-2025-0012,PRD-003,Gasket Seal G-400,WHS-SBY-01,WHS-KRW-01,3000,8.00,24000.00,Emergency Transfer — Stockout Prevention,Supply Chain Manager,2026-03-22,2026-03-23,2026-03-25,Completed,3,3914.58,Manual Request,
TRF-2025-0013,PRD-008,Air Filter A-200,WHS-KRW-01,WHS-SBY-01,2000,7.50,15000.00,Seasonal Demand Shift,AI System (Auto),2026-04-29,2026-04-30,2026-05-03,Completed,2,2414.43,Manual Request,
TRF-2025-0014,PRD-010,Radiator Copper 16mm,WHS-KRW-01,WHS-SBY-01,5000,28.00,140000.00,Manual Rebalance Request,AI System (Auto),2025-09-17,2025-09-19,2025-09-27,Completed,3,7369.3,Manual Request,
TRF-2025-0015,PRD-002,Brake Pad 08 Aluminum Alloy,WHS-SBY-01,WHS-KRW-01,500,12.00,6000.00,AI Stock Balancing Recommendation,Warehouse Supervisor,2026-01-05,2026-01-05,2026-01-09,Completed,2,915.44,AI Recommendation,INS-001
TRF-2025-0016,PRD-003,Gasket Seal G-400,WHS-KRW-01,WHS-SBY-01,3000,8.00,24000.00,Emergency Transfer — Stockout Prevention,AI System (Auto),2026-03-10,2026-03-12,2026-03-19,Completed,5,4840.21,Manual Request,
TRF-2025-0017,PRD-003,Gasket Seal G-400,WHS-KRW-01,WHS-SBY-01,500,8.00,4000.00,Seasonal Demand Shift,AI System (Auto),2025-12-14,2025-12-15,2025-12-17,Completed,3,412.95,Manual Request,
TRF-2025-0018,PRD-008,Air Filter A-200,WHS-SBY-01,WHS-KRW-01,2000,7.50,15000.00,AI Stock Balancing Recommendation,AI System (Auto),2025-12-04,2025-12-06,2025-12-12,Completed,1,2194.42,AI Recommendation,INS-001
TRF-2025-0019,PRD-004,Tire Radial 225/55R15,WHS-SBY-01,WHS-KRW-01,3000,35.00,105000.00,AI Stock Balancing Recommendation,AI System (Auto),2025-10-25,2025-10-27,2025-10-28,Completed,1,5040.58,AI Recommendation,INS-001
TRF-2025-0020,PRD-004,Tire Radial 225/55R15,WHS-SBY-01,WHS-KRW-01,5000,35.00,175000.00,Manual Rebalance Request,Supply Chain Manager,2026-04-01,2026-04-03,2026-04-07,Completed,5,4119.64,Manual Request,
TRF-2025-0021,PRD-014,SS Bolt M12x80,WHS-SBY-01,WHS-KRW-01,2000,0.15,300.00,Manual Rebalance Request,AI System (Auto),2025-09-01,2025-09-02,2025-09-06,Completed,2,2620.65,Manual Request,
TRF-2025-0022,PRD-013,Engine Oil 5W-30,WHS-SBY-01,WHS-KRW-01,500,4.00,2000.00,AI Stock Balancing Recommendation,Supply Chain Manager,2025-09-04,2025-09-05,2025-09-10,Completed,5,492.83,AI Recommendation,INS-001
TRF-2025-0023,PRD-003,Gasket Seal G-400,WHS-KRW-01,WHS-SBY-01,500,8.00,4000.00,Manual Rebalance Request,AI System (Auto),2025-12-17,2025-12-19,2025-12-21,Completed,1,607.18,Manual Request,
TRF-2025-0024,PRD-013,Engine Oil 5W-30,WHS-KRW-01,WHS-SBY-01,5000,4.00,20000.00,AI Stock Balancing Recommendation,Warehouse Supervisor,2026-01-07,2026-01-07,2026-01-10,Completed,5,4762.23,AI Recommendation,INS-001
TRF-2025-0025,PRD-011,Spark Plug MS-06,WHS-SBY-01,WHS-KRW-01,500,3.00,1500.00,Seasonal Demand Shift,Warehouse Supervisor,2025-12-19,2025-12-21,2025-12-23,Completed,4,784.3,Manual Request,
TRF-2026-0026,PRD-001,Engine Fastener M10 Steel (AF-M10-ST),WHS-KRW-01,WHS-SBY-01,5000,5.50,27500.00,AI Stock Balancing Recommendation,AI System (Auto),2026-07-28,,,Pending Approval,0,0.0,AI Recommendation,
TRF-2026-0027,PRD-002,Brake Pad 08 Aluminum Alloy,WHS-KRW-01,WHS-SBY-01,2500,12.00,30000.00,Emergency Transfer — Stockout Prevention,AI System (Auto),2026-07-28,,,Pending Approval,0,0.0,AI Recommendation,
TRF-2026-0028,PRD-006,Ball Bearing 6205-2RS,WHS-KRW-01,WHS-SBY-01,3000,15.00,45000.00,AI Stock Balancing Recommendation,AI System (Auto),2026-07-28,,,Pending Approval,0,0.0,AI Recommendation,
TRF-2026-0029,PRD-009,Shock Absorber Front FR-22,WHS-KRW-01,WHS-SBY-01,1500,45.00,67500.00,Emergency Transfer — Stockout Prevention,AI System (Auto),2026-07-28,,,Pending Approval,0,0.0,AI Recommendation,
