event_id,risk_category,risk_level,confidence_prob,description,potential_impact,detected_at,status,related_entity_ids
RE-001,Equipment Failure,Critical,0.88,Stamping Press Hydraulic Failure on Line 3 Surabaya,"$45,000/day production loss + 1,200 unit backlog",2026-07-25,Open,"PROD-2025042, PLT-SBY-01"
RE-002,Supply Chain Delay,High,0.75,Port congestion at Tanjung Perak — queue time +42%,Export delay +2.5 days to Thailand hub,2026-07-26,Open,"EXP-2025012, TPK"
RE-003,Inventory Shortage,High,0.82,Stockout projected for Brake Pad 08 Aluminum — 18 Aug 2026,"Shortfall 2,600-4,200 units if not replenished",2026-07-27,Open,"PRD-H-002, WHS-SBY-01"
RE-004,Quality Defect,Medium,0.68,Incoming quality inspection flagged batch SUP-003 — gasket defects,Potential 5% rejection rate on PS-BSG-G400,2026-07-24,Acknowledged,"SUP-003, PRD-H-003"
RE-005,Demand Surge,Medium,0.72,OEM customer demand spike +35% on Engine Fastener M10,Risk of stockout in 21 days at current supply rate,2026-07-28,Open,PRD-H-001
RE-006,Supplier Risk,Medium,0.61,Supplier SUP-006 delivery reliability dropped to 87%,Lead time variance +3 days on Bolt M12x80,2026-07-22,Acknowledged,"SUP-006, PRD-H-014"
RE-007,Logistics Disruption,High,0.79,Customs inspection backlog at Jakarta port — 48hr average queue,8 delivery orders at risk of delay,2026-07-27,Open,"JKT, DO-202510"
RE-008,Inventory Imbalance,High,0.85,"Stock Imbalance: Fastener M10 overstock at Karawang (18,000 units / 450 days supply) while Surabaya critical (800 units / 7 days supply). Transfer recommended.","Holding cost $1,485/month at KRW; Stockout risk at SBY in 7 days. Total imbalanced inventory value: $1,045,000",2026-07-28,Open,"PRD-H-001, WHS-KRW-01, WHS-SBY-01"
RE-009,Inventory Imbalance,Critical,0.91,"CRITICAL: Shock Absorber FR-22 — Surabaya only 200 units (3 days supply) while Karawang has 3,500 units. Immediate transfer required.","Stockout at Surabaya in 3 days. Revenue loss $2,250/day. Customer SLA breach on 15 pending orders worth $67,500",2026-07-28,Open,"PRD-H-009, WHS-SBY-01, WHS-KRW-01"
RE-010,Inventory Imbalance,High,0.83,"Brake Pad 08 Aluminum — Karawang overstock (6,500 units / 244 days) while Surabaya in crisis (1,200 units / 11 days). Inter-branch transfer of 2,500 units recommended.","KRW holding cost $1,170/month. SBY stockout projected Aug 8. Revenue at risk: $38,400",2026-07-27,Open,"PRD-H-002, WHS-KRW-01, WHS-SBY-01"
RE-011,Inventory Imbalance,Medium,0.76,"Ball Bearing 6205-2RS imbalance — KRW 12,000 units (360 days) vs SBY 2,000 units (15 days). Slow-moving at KRW detected.","KRW holding cost $2,700/month. Transfer 3,000 units to SBY to balance supply.",2026-07-26,Acknowledged,"PRD-H-006, WHS-KRW-01, WHS-SBY-01"
RE-012,Supplier Risk,Critical,0.91,Supplier SUP-004 tax compliance issue — potential production stop,"Tire Radial 225/55R15 supply at risk — 3,000 units pending",2026-07-29,Open,"SUP-004, PRD-H-004"
RE-013,Cost Escalation,Low,0.55,Raw material copper price trending +12% QoQ,Radiator cost increase projected $3.50/unit,2026-07-18,Open,PRD-H-010
RE-014,Inventory Imbalance,Medium,0.70,"Gasket G-400 overstock across both warehouses — KRW 22,000 units + SBY 4,500 units. Total holding cost $3,150/month. Recommend consolidate and reduce reorder point.","Excess holding cost $3,150/month ($37,800/year). Working capital tied up $212,000",2026-07-20,Mitigated,"PRD-H-003, WHS-KRW-01, WHS-SBY-01"
RE-015,Equipment Failure,Low,0.45,Sensor vibration anomaly on Line 2 Karawang — early warning,Potential unplanned downtime if not addressed,2026-07-28,Open,PLT-KRW-02
