product_id,product_code_raw,product_description_raw,uom_raw,source_system,harmonized_product_id,harmonized_product_name,harmonized_uom
PRD-001,AF-M10-ST-2026,Fastener M10 Steel,BOX (100 Pcs),SAP_S4HANA_ERP,PRD-H-001,Engine Fastener M10 Steel (AF-M10-ST),PCS
PRD-001,M10-STEEL-FAST,Baut M10 Otomotif,Pcs,Indoprima_WMS,PRD-H-001,Engine Fastener M10 Steel (AF-M10-ST),PCS
PRD-001,AF-M10,Engine Fastener M10 Steel,BOX (100 Pcs),E-Procurement_Portal,PRD-H-001,Engine Fastener M10 Steel (AF-M10-ST),PCS
PRD-002,BK-BRK-08-AL,Brake Pad Aluminum Alloy,SET (4 Pcs),SAP_S4HANA_ERP,PRD-H-002,Brake Pad 08 Aluminum Alloy,SET
PRD-002,BRK-PAD-08AL,Kampas Rem 08 Aluminum,SET,Indoprima_WMS,PRD-H-002,Brake Pad 08 Aluminum Alloy,SET
PRD-002,BK-BRK-08,Brake Pad 08 Aluminum,SET (4 Pcs),E-Procurement_Portal,PRD-H-002,Brake Pad 08 Aluminum Alloy,SET
PRD-003,PS-BSG-G400,Gasket Seal G-400,BOX (50 Pcs),SAP_S4HANA_ERP,PRD-H-003,Gasket Seal G-400,PCS
PRD-003,GKT-G400,Gasket Seal G400,Pcs,Indoprima_WMS,PRD-H-003,Gasket Seal G-400,PCS
PRD-003,PS-G400,Gasket G-400 Industrial,BOX (50 Pcs),E-Procurement_Portal,PRD-H-003,Gasket Seal G-400,PCS
PRD-004,AT-STR-R15-225,Tire Radial 225/55R15,Pcs,SAP_S4HANA_ERP,PRD-H-004,Tire Radial 225/55R15,PCS
PRD-004,TIRE-225R15,Ban Radial 225/55 R15,Pcs,Indoprima_WMS,PRD-H-004,Tire Radial 225/55R15,PCS
PRD-004,AT-225R15,Automotive Tire 225/55R15,Pcs,E-Procurement_Portal,PRD-H-004,Tire Radial 225/55R15,PCS
PRD-005,EL-BAT-12V60,Battery 12V 60Ah,Pcs,SAP_S4HANA_ERP,PRD-H-005,Battery 12V 60Ah,PCS
PRD-005,BAT-12V60,Baterai 12V 60Ah,Pcs,Indoprima_WMS,PRD-H-005,Battery 12V 60Ah,PCS
