work_order_id,machine_id,downtime_id,maintenance_type,failure_code,work_start_time,work_end_time,duration_hours,technician_notes
WO-3001,MCH-HEATTREAT-01,DT-1009,Corrective,FAIL-107,2026-07-02 13:35:10,2026-07-02 15:46:52,2.19,Replaced faulty components and calibrated MCH-HEATTREAT-01. System tested OK.
WO-3002,MCH-HEATTREAT-01,DT-1013,Corrective,FAIL-103,2026-07-04 04:19:58,2026-07-04 05:07:10,0.79,Replaced faulty components and calibrated MCH-HEATTREAT-01. System tested OK.
WO-3003,MCH-COILING-01,DT-1018,Corrective,FAIL-106,2026-07-05 21:21:01,2026-07-05 22:00:25,0.66,Replaced faulty components and calibrated MCH-COILING-01. System tested OK.
WO-3004,MCH-COILING-01,DT-1023,Corrective,FAIL-103,2026-07-06 12:57:41,2026-07-06 13:47:35,0.83,Replaced faulty components and calibrated MCH-COILING-01. System tested OK.
WO-3005,MCH-HEATTREAT-01,DT-1024,Corrective,FAIL-101,2026-07-06 05:32:31,2026-07-06 06:18:01,0.76,Replaced faulty components and calibrated MCH-HEATTREAT-01. System tested OK.
WO-3006,MCH-SHOTPEEN-01,DT-1025,Corrective,FAIL-108,2026-07-06 03:51:18,2026-07-06 05:34:00,1.71,Replaced faulty components and calibrated MCH-SHOTPEEN-01. System tested OK.
WO-3007,MCH-SHOTPEEN-01,DT-1026,Corrective,FAIL-106,2026-07-06 12:20:04,2026-07-06 13:19:46,0.99,Replaced faulty components and calibrated MCH-SHOTPEEN-01. System tested OK.
WO-3008,MCH-SHOTPEEN-01,DT-1027,Corrective,FAIL-108,2026-07-06 19:09:46,2026-07-06 20:46:10,1.61,Replaced faulty components and calibrated MCH-SHOTPEEN-01. System tested OK.
WO-3009,MCH-HEATTREAT-01,DT-1043,Corrective,FAIL-105,2026-07-09 05:02:22,2026-07-09 07:04:46,2.04,Replaced faulty components and calibrated MCH-HEATTREAT-01. System tested OK.
WO-3010,MCH-SHOTPEEN-01,DT-1045,Corrective,FAIL-107,2026-07-09 05:49:49,2026-07-09 06:57:49,1.13,Replaced faulty components and calibrated MCH-SHOTPEEN-01. System tested OK.
WO-3011,MCH-STABILIZER-01,DT-1046,Corrective,FAIL-103,2026-07-09 04:53:00,2026-07-09 05:44:00,0.85,Replaced faulty components and calibrated MCH-STABILIZER-01. System tested OK.
WO-3012,MCH-HEATTREAT-01,DT-1048,Corrective,FAIL-107,2026-07-10 04:57:56,2026-07-10 06:09:38,1.2,Replaced faulty components and calibrated MCH-HEATTREAT-01. System tested OK.
WO-3013,MCH-COILING-01,DT-1052,Corrective,FAIL-104,2026-07-11 19:32:37,2026-07-11 20:49:31,1.28,Replaced faulty components and calibrated MCH-COILING-01. System tested OK.
WO-3014,MCH-HEATTREAT-01,DT-1054,Corrective,FAIL-102,2026-07-11 05:54:11,2026-07-11 07:58:41,2.08,Replaced faulty components and calibrated MCH-HEATTREAT-01. System tested OK.
WO-3015,MCH-STABILIZER-01,DT-1060,Corrective,FAIL-101,2026-07-12 20:07:53,2026-07-12 22:09:23,2.02,Replaced faulty components and calibrated MCH-STABILIZER-01. System tested OK.
WO-3016,MCH-TESTING-01,DT-1061,Corrective,FAIL-107,2026-07-12 04:36:38,2026-07-12 05:18:38,0.7,Replaced faulty components and calibrated MCH-TESTING-01. System tested OK.
WO-3017,MCH-COILING-02,DT-1064,Corrective,FAIL-108,2026-07-13 03:54:36,2026-07-13 05:25:18,1.51,Replaced faulty components and calibrated MCH-COILING-02. System tested OK.
WO-3018,MCH-HEATTREAT-01,DT-1070,Corrective,FAIL-104,2026-07-14 04:51:21,2026-07-14 06:13:33,1.37,Replaced faulty components and calibrated MCH-HEATTREAT-01. System tested OK.
WO-3019,MCH-HEATTREAT-01,DT-1071,Corrective,FAIL-103,2026-07-14 12:35:56,2026-07-14 13:50:14,1.24,Replaced faulty components and calibrated MCH-HEATTREAT-01. System tested OK.
WO-3020,MCH-TEMPERING-01,DT-1072,Corrective,FAIL-107,2026-07-14 04:35:54,2026-07-14 06:55:36,2.33,Replaced faulty components and calibrated MCH-TEMPERING-01. System tested OK.
WO-3021,MCH-SHOTPEEN-01,DT-1083,Corrective,FAIL-106,2026-07-17 03:52:11,2026-07-17 05:00:11,1.13,Replaced faulty components and calibrated MCH-SHOTPEEN-01. System tested OK.
WO-3022,MCH-PRESS-01,DT-1084,Corrective,FAIL-105,2026-07-17 04:44:05,2026-07-17 05:46:11,1.03,Replaced faulty components and calibrated MCH-PRESS-01. System tested OK.
WO-3023,MCH-HEATTREAT-01,DT-1088,Corrective,FAIL-104,2026-07-18 03:21:56,2026-07-18 05:15:08,1.89,Replaced faulty components and calibrated MCH-HEATTREAT-01. System tested OK.
WO-3024,MCH-HEATTREAT-01,DT-1097,Corrective,FAIL-106,2026-07-20 04:08:52,2026-07-20 05:05:46,0.95,Replaced faulty components and calibrated MCH-HEATTREAT-01. System tested OK.
WO-3025,MCH-SHOTPEEN-01,DT-1103,Corrective,FAIL-104,2026-07-21 05:05:24,2026-07-21 05:50:54,0.76,Replaced faulty components and calibrated MCH-SHOTPEEN-01. System tested OK.
