insight_id,module,priority,title,summary,contributing_factors,confidence_score,business_impact,recommended_action,created_at
INS-001,Dashboard,Critical,Line 3 Surabaya Stamping Press Failure Imminent,Hydraulic pressure sensor readings on Line 3 show 88% probability of failure within 72 hours. Historical pattern matches 3 previous breakdowns with similar vibration signatures.,"hydraulic pressure sensor anomaly; vibration pattern match (0.92 cosine similarity); 14hr downtime historical; 1,200 unit backlog risk",0.88,"$45,000/day production loss; 1,200 units backlog; downstream delivery delays",Schedule preventive maintenance on Line 3 Stamping Press within 48 hours. Re-route production to Line 5 as backup.,2026-07-25T08:15:00
INS-002,Demand & Inventory,High,Brake Pad 08 Aluminum Stockout Projected 18 Aug 2026,"Current on-hand inventory (2,400 units) vs forecasted demand (3,200 units over next 21 days) projects stockout on 18 Aug 2026. Lead time is 14 days — reorder needed immediately.","demand surge +28% MoM; on_hand 2,400 vs safety_stock 3,500; lead_time 14 days; stockout_date 18-Aug-2026",0.84,"Shortfall 2,600-4,200 units; revenue loss $52,000-84,000; customer SLA breach","Place emergency PO for 5,000 units with supplier CV Bina Karya Metal. Request expedited delivery within 10 days.",2026-07-27T14:30:00
INS-003,Invoice Matching,High,48 Invoice-Resi Mismatches Require Immediate Resolution,"Out of 1,248 total transactions, 48 (3.8%) show Discrepancy status. 12 of these involve amounts >$50,000 and are flagged as high-severity exceptions.",48 discrepancies; 12 high-severity (>$50K); 92 partial matches; qty variance avg 5.2%; amount variance avg 3.8%,0.95,"Potential revenue leakage $128,000; payment processing delays; supplier relationship risk",Prioritize review of 12 high-severity exceptions. Schedule supplier reconciliation meeting for top 3 suppliers.,2026-07-26T10:00:00
INS-004,Dashboard,Medium,Port Congestion Impacting Export Timeline,Tanjung Perak queue times increased 42% over 30-day rolling average. 8 delivery orders at risk of delay to Thailand and Vietnam hubs.,"queue_time +42% vs 30d avg; 8 orders at risk; $184,000 total value; customs inspection backlog",0.79,"8 delivery orders delayed +2-3 days; $184,000 at risk; customer penalty clauses triggered",Re-route 3 urgent orders via Jakarta port (current queue 12hr vs TPK 36hr). Notify customers of potential 1-day delay on remaining orders.,2026-07-26T16:45:00
INS-005,Demand & Inventory,Critical,"STOCK BALANCING: Fastener M10 — Transfer 5,000 units KRW → SBY","AI analysis detects severe stock imbalance for Engine Fastener M10 Steel. Karawang holds 18,000 units (450 days of supply, dead-moving) while Surabaya has only 800 units (7 days supply, critical). Monthly demand at Surabaya is 3x higher and growing (+1.5%/month). Immediate inter-branch transfer of 5,000 units recommended.","KRW: 18,000 units / 450 days / dead-moving / holding cost $1,485/mo; SBY: 800 units / 7 days / critical; demand ratio SBY:KRW = 2.9:1; demand trend SBY +1.5%/mo; transfer cost ~$12,000; savings: $1,485/mo holding + prevents $77,000 stockout loss",0.92,"Prevents SBY stockout (revenue loss $77,000). Reduces KRW holding cost by $412/mo. Total imbalanced inventory value: $1,045,000 across both warehouses. Combined overstock/dead-stock value at risk: Rp 23,300,000,000 equivalent across all imbalanced SKUs.","APPROVE: Execute inter-branch transfer TRF-2026-0026 for 5,000 units Engine Fastener M10 from WHS-KRW-01 to WHS-SBY-01. Estimated transport: 2 days, cost $12,000. Target completion: 30 Jul 2026.",2026-07-28T06:00:00
INS-006,Demand & Inventory,Critical,"STOCK BALANCING: Shock Absorber FR-22 — Emergency Transfer 1,500 units KRW → SBY","CRITICAL imbalance detected. Surabaya has only 200 units of Shock Absorber FR-22 (3 days supply — will stockout by 31 Jul). Karawang holds 3,500 units (210 days, slow-moving). Monthly demand at Surabaya is 2,200 units and growing. Emergency transfer of 1,500 units required within 48 hours.","SBY: 200 units / 3 days / stockout 31-Jul; KRW: 3,500 units / 210 days / slow-moving; demand SBY 2,200/mo growing; 15 pending delivery orders at risk ($67,500); transfer urgency: CRITICAL",0.95,"Prevents immediate stockout at Surabaya. Protects 15 pending orders worth $67,500. KRW excess holding cost $1,181/month. Combined inventory imbalance value across all flagged SKUs: Rp 23.3 Miliar.","URGENT: Execute emergency inter-branch transfer TRF-2026-0029 for 1,500 units Shock Absorber FR-22 from WHS-KRW-01 to WHS-SBY-01. Express transport required (1 day). Target completion: 29 Jul 2026.",2026-07-28T07:30:00
INS-007,Demand & Inventory,High,"STOCK BALANCING: Brake Pad 08 Aluminum — Transfer 2,500 units KRW → SBY","AI detects stock imbalance for Brake Pad 08 Aluminum. Karawang overstock (6,500 units / 244 days / slow-moving) while Surabaya in crisis (1,200 units / 11 days). Demand at Surabaya is 4x Karawang (3,200 vs 800/month). Transfer 2,500 units recommended.","KRW: 6,500 units / 244 days / slow-moving / $1,170/mo holding; SBY: 1,200 units / 11 days / crisis; demand ratio 4:1; stockout projected Aug 8 if no action",0.89,Prevents SBY stockout Aug 8. Reduces KRW holding cost $450/mo. Combined imbalance value with other SKUs: Rp 23.3 Miliar.,"APPROVE: Execute inter-branch transfer TRF-2026-0027 for 2,500 units Brake Pad 08 Aluminum from WHS-KRW-01 to WHS-SBY-01. Standard transport 3 days. Target: 1 Aug 2026.",2026-07-27T09:00:00
INS-008,Demand & Inventory,High,"STOCK BALANCING: Ball Bearing 6205 — Transfer 3,000 units KRW → SBY","Moderate imbalance for Ball Bearing 6205-2RS. Karawang: 12,000 units (360 days, slow-moving). Surabaya: 2,000 units (15 days). Transfer 3,000 units to rebalance.","KRW: 12,000 units / 360 days / slow-moving / $2,700/mo holding; SBY: 2,000 units / 15 days; demand growth SBY +2%/mo",0.82,Reduces KRW holding cost $675/mo. Prevents SBY low-stock in 3 weeks.,"APPROVE: Execute transfer TRF-2026-0028 for 3,000 units Ball Bearing 6205 from WHS-KRW-01 to WHS-SBY-01.",2026-07-26T11:00:00
INS-009,Dashboard,Medium,Supply Chain Health Index Trending Down — Needs Attention,Composite SC Health Index dropped from 82 to 78 over 2 weeks. On-Time Delivery at 84.2% (target 92%) and Production Achievement at 88.5% (target 95%) are both below target.,OTD 84.2% vs target 92%; Prod 88.5% vs target 95%; Forecast Accuracy 91.2%; At-Risk Orders 8,0.87,"Yellow status on dashboard; if trend continues 2 more weeks, will drop to orange (At Risk)",Focus improvement on On-Time Delivery (root cause: port congestion + production downtime). Set weekly monitoring cadence.,2026-07-28T15:00:00
INS-010,Invoice Matching,Medium,UOM Harmonization Issue Detected — 92 Partial Matches,92 transactions (7.4%) classified as Partial Match primarily due to UOM conversion discrepancies between ERP (BOX) and WMS (PCS). Harmonization confidence at 95% but field variance exceeds 2% threshold.,92 partial matches; UOM conversion BOX(100) vs PCS; qty variance 2-5%; amount match within tolerance,0.81,Payment processing delays; manual review overhead estimated 40 hours/month,Review UOM harmonization lookup table. Auto-convert BOX→PCS for known conversion factors. Reduce manual review by 60%.,2026-07-25T11:00:00
